Category,Motivation,Label,Len,Text
chemistry,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",4,108,investigations disintegration elements chemistry radioactive substances
literature,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",3,248,recognition earnest search truth penetrating power thought wide range vision warmth strength presentation numerous works vindicated developed idealistic philosophy life
peace,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",2,106,long time work cause peace politicians peace society leaders orators authors
medicine,"""in recognition of their work on immunity""",1,42,recognition work immunity
medicine,"""in recognition of their work on immunity""",1,42,recognition work immunity
peace,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",2,106,long time work cause peace politicians peace society leaders orators authors
physics,"""for his method of reproducing colours photographically based on the phenomenon of interference""",0,96,method reproducing colours photographically based phenomenon interference
physics,"""in recognition of their contributions to the development of wireless telegraphy""",0,81,recognition contributions development wireless telegraphy
medicine,"""for his work on the physiology pathology and surgery of the thyroid gland""",1,75,work physiology pathology surgery thyroid gland
literature,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",3,113,appreciation lofty idealism vivid imagination spiritual perception characterize writings
chemistry,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",4,152,recognition work catalysis investigations fundamental principles governing chemical equilibria rates reaction
physics,"""in recognition of their contributions to the development of wireless telegraphy""",0,81,recognition contributions development wireless telegraphy
peace,"""for their prominent position in the international movement for peace and arbitration""",2,86,prominent position international movement peace arbitration
peace,"""for their prominent position in the international movement for peace and arbitration""",2,86,prominent position international movement peace arbitration
literature,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",3,203,tribute consummate artistry permeated idealism demonstrated long productive career lyric poet dramatist novelist writer worldrenowned short stories
peace,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",2,158,acting link peace societies various countries helping organize world rallies international peace movement
physics,"""for his work on the equation of state for gases and liquids""",0,61,work equation state gases liquids
medicine,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",1,139,recognition contributions knowledge cell chemistry made work proteins including nucleic substances
chemistry,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",4,135,recognition services organic chemistry chemical industry pioneer work field alicyclic compounds
peace,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",2,128,effort expose fight considers main cause war namely anarchy international relations
peace,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",2,239,role cofounder Institut de droit international initiator Conferences International Private Law Conférences de Droit international privé Hague pioneer field international legal relations
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",0,158,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel
chemistry,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",4,213,recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element
physics,"""for his discoveries regarding the laws governing the radiation of heat""",0,72,discoveries regarding laws governing radiation heat
literature,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",3,337,appreciation manysided literary activities especially dramatic works distinguished wealth imagination poetic fancy reveals sometimes guise fairy tale deep inspiration mysterious way appeal readers feelings stimulate imaginations
medicine,"""for his work on the dioptrics of the eye""",1,42,work dioptrics eye
literature,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",3,105,primarily recognition fruitful varied outstanding production realm dramatic art
medicine,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",1,99,recognition work vascular suture transplantation blood vessels organs
chemistry,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",4,182,method hydrogenating organic compounds presence finely disintegrated metals whereby progress organic chemistry greatly advanced recent years
chemistry,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",4,130,discovery socalled Grignard reagent recent years greatly advanced progress organic chemistry
physics,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",0,127,invention automatic regulators use conjunction gas accumulators illuminating lighthouses buoys
peace,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",2,184,bringing better understanding countries North South America initiating important arbitration agreements United States countries
medicine,"""in recognition of his work on anaphylaxis""",1,43,recognition work anaphylaxis
chemistry,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",4,195,recognition work linkage atoms molecules thrown new light earlier investigations opened new fields research especially inorganic chemistry
peace,"""for his unparalleled contribution to the organization of peaceful internationalism""",2,84,unparalleled contribution organization peaceful internationalism
literature,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",3,197,profoundly sensitive fresh beautiful verse consummate skill made poetic thought expressed English words part literature West
physics,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",0,128,investigations properties matter low temperatures led inter alia production liquid helium
physics,"""for his discovery of the diffraction of X-rays by crystals""",0,60,discovery diffraction Xrays crystals
medicine,"""for his work on the physiology and pathology of the vestibular apparatus""",1,74,work physiology pathology vestibular apparatus
chemistry,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",4,107,recognition accurate determinations atomic weight large number chemical elements
physics,"""for their services in the analysis of crystal structure by means of X-rays""",0,76,services analysis crystal structure means Xrays
physics,"""for their services in the analysis of crystal structure by means of X-rays""",0,76,services analysis crystal structure means Xrays
chemistry,"""for his researches on plant pigments especially chlorophyll""",4,61,researches plant pigments especially chlorophyll
literature,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",3,161,tribute lofty idealism literary production sympathy love truth described different types human beings
literature,"""in recognition of his significance as the leading representative of a new era in our literature""",3,97,recognition significance leading representative new era literature
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",2,90,efforts take care wounded soldiers prisoners war families
peace,"""for the great work it has performed during the war on behalf of humanity""",2,74,great work performed war behalf humanity
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",2,83,promoting principles Geneva Convention cooperation UN
physics,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",0,80,discovery characteristic Roumlntgen radiation elements
literature,"""for his varied and rich poetry which is inspired by lofty ideals""",3,66,varied rich poetry inspired lofty ideals
literature,"""for his authentic descriptions of present-day life in Denmark""",3,63,authentic descriptions presentday life Denmark
physics,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",0,108,recognition services rendered advancement Physics discovery energy quanta
chemistry,"""for the synthesis of ammonia from its elements""",4,48,synthesis ammonia elements
peace,"""for his role as founder of the League of Nations""",2,50,role founder League Nations
medicine,"""for his discoveries relating to immunity""",1,42,discoveries relating immunity
physics,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",0,110,discovery Doppler effect canal rays splitting spectral lines electric fields
literature,"""in special appreciation of his epic <I>Olympian Spring</I>""",3,60,special appreciation epic IOlympian SpringI
physics,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",0,137,recognition service rendered precision measurements Physics discovery anomalies nickel steel alloys
chemistry,"""in recognition of his work in thermochemistry""",4,47,recognition work thermochemistry
medicine,"""for his discovery of the capillary motor regulating mechanism""",1,63,discovery capillary motor regulating mechanism
peace,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",2,138,longstanding contribution cause peace justice prominent role establishment League Nations
literature,"""for his monumental work <I>Growth of the Soil</I>""",3,51,monumental work IGrowth SoilI
literature,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",3,166,recognition brilliant literary achievements characterized nobility style profound human sympathy grace true Gallic temperament
peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",2,87,lifelong contributions cause peace organized internationalism
physics,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",0,113,services Theoretical Physics especially discovery law photoelectric effect
chemistry,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",4,145,contributions knowledge chemistry radioactive substances investigations origin nature isotopes
peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",2,87,lifelong contributions cause peace organized internationalism
physics,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",0,106,services investigation structure atoms radiation emanating
peace,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",2,152,leading role repatriation prisoners war international relief work League Nations High Commissioner refugees
chemistry,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""",4,160,discovery means mass spectrograph isotopes large number nonradioactive elements enunciation wholenumber rule
medicine,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",1,127,discovery fixed relationship consumption oxygen metabolism lactic acid muscle
literature,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",3,96,happy manner continued illustrious traditions Spanish drama
medicine,"""for his discovery relating to the production of heat in the muscle""",1,68,discovery relating production heat muscle
medicine,"""for the discovery of insulin""",1,30,discovery insulin
medicine,"""for the discovery of insulin""",1,30,discovery insulin
physics,"""for his work on the elementary charge of electricity and on the photoelectric effect""",0,86,work elementary charge electricity photoelectric effect
chemistry,"""for his invention of the method of micro-analysis of organic substances""",4,73,invention method microanalysis organic substances
literature,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation""",3,113,always inspired poetry highly artistic form gives expression spirit whole nation
literature,"""for his great national epic <I>The Peasants</I>""",3,49,great national epic IThe PeasantsI
medicine,"""for his discovery of the mechanism of the electrocardiogram""",1,61,discovery mechanism electrocardiogram
physics,"""for his discoveries and research in the field of X-ray spectroscopy""",0,69,discoveries research field Xray spectroscopy
physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",0,82,discovery laws governing impact electron upon atom
physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",0,82,discovery laws governing impact electron upon atom
peace,"""for his crucial role in bringing about the Locarno Treaty""",2,59,crucial role bringing Locarno Treaty
peace,"""for his crucial role in bringing about the Dawes Plan""",2,55,crucial role bringing Dawes Plan
chemistry,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry""",4,163,demonstration heterogenous nature colloid solutions methods used since become fundamental modern colloid chemistry
literature,"""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty""",3,133,work marked idealism humanity stimulating satire often infused singular poetic beauty
peace,"""for their crucial role in bringing about the Locarno Treaty""",2,61,crucial role bringing Locarno Treaty
peace,"""for their crucial role in bringing about the Locarno Treaty""",2,61,crucial role bringing Locarno Treaty
literature,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",3,171,idealistically inspired writings plastic clarity picture life native island depth sympathy deal human problems general
medicine,"""for his discovery of the Spiroptera carcinoma""",1,47,discovery Spiroptera carcinoma
physics,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""",0,117,work discontinuous structure matter especially discovery sedimentation equilibrium
chemistry,"""for his work on disperse systems""",4,34,work disperse systems
literature,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",3,109,recognition rich vitalizing ideas brilliant skill presented
peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",2,132,contribution emergence France Germany public opinion favours peaceful international cooperation
physics,"""for his discovery of the effect named after him""",0,49,discovery effect named
physics,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",0,104,method making paths electrically charged particles visible condensation vapour
medicine,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",1,107,discovery therapeutic value malaria inoculation treatment dementia paralytica
chemistry,"""for his investigations of the constitution of the bile acids and related substances""",4,85,investigations constitution bile acids related substances
peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",2,132,contribution emergence France Germany public opinion favours peaceful international cooperation
medicine,"""for his work on typhus""",1,24,work typhus
chemistry,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",4,124,services rendered research constitution sterols connection vitamins
physics,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",0,103,work thermionic phenomenon especially discovery law named
literature,"""principally for her powerful descriptions of Northern life during the Middle Ages""",3,83,principally powerful descriptions Northern life Middle Ages
chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes""",4,80,investigations fermentation sugar fermentative enzymes
chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes""",4,80,investigations fermentation sugar fermentative enzymes
medicine,"""for his discovery of the antineuritic vitamin""",1,47,discovery antineuritic vitamin
physics,"""for his discovery of the wave nature of electrons""",0,51,discovery wave nature electrons
literature,"""principally for his great novel <I>Buddenbrooks</I> which has won steadily increased recognition as one of the classic works of contemporary literature""",3,153,principally great novel IBuddenbrooksI steadily increased recognition one classic works contemporary literature
medicine,"""for his discovery of the growth-stimulating vitamins""",1,54,discovery growthstimulating vitamins
peace,"""for his crucial role in bringing about the Briand-Kellogg Pact""",2,64,crucial role bringing BriandKellogg Pact
literature,"""for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters""",3,119,vigorous graphic art description ability create wit humour new types characters
medicine,"""for his discovery of human blood groups""",1,41,discovery human blood groups
chemistry,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",4,111,researches constitution haemin chlorophyll especially synthesis haemin
peace,"""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'""",2,143,promoting Christian unity helping create new attitude mind necessary peace nations become reality
physics,"""for his work on the scattering of light and for the discovery of the effect named after him""",0,93,work scattering light discovery effect named
medicine,"""for his discovery of the nature and mode of action of the respiratory enzyme""",1,78,discovery nature mode action respiratory enzyme
chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",4,106,recognition contributions invention development chemical high pressure methods
chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",4,106,recognition contributions invention development chemical high pressure methods
literature,"""The poetry of Erik Axel Karlfeldt""",3,35,poetry Erik Axel Karlfeldt
peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",2,141,assiduous effort revive ideal peace rekindle spirit peace nation whole mankind
peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",2,141,assiduous effort revive ideal peace rekindle spirit peace nation whole mankind
medicine,"""for their discoveries regarding the functions of neurons""",1,58,discoveries regarding functions neurons
medicine,"""for their discoveries regarding the functions of neurons""",1,58,discoveries regarding functions neurons
physics,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""",0,136,creation quantum mechanics application inter alia led discovery allotropic forms hydrogen
literature,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",3,96,distinguished art narration takes highest form IThe Forsyte SagaI
chemistry,"""for his discoveries and investigations in surface chemistry""",4,61,discoveries investigations surface chemistry
physics,"""for the discovery of new productive forms of atomic theory""",0,60,discovery new productive forms atomic theory
physics,"""for the discovery of new productive forms of atomic theory""",0,60,discovery new productive forms atomic theory
peace,"""for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace""",2,123,exposed pen illusion war presented convincing plea international cooperation peace
medicine,"""for his discoveries concerning the role played by the chromosome in heredity""",1,78,discoveries concerning role played chromosome heredity
literature,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",3,104,strict artistry carried classical Russian traditions prose writing
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",1,68,discoveries concerning liver therapy cases anaemia
chemistry,"""for his discovery of heavy hydrogen""",4,37,discovery heavy hydrogen
literature,"""for his bold and ingenious revival of dramatic and scenic art""",3,63,bold ingenious revival dramatic scenic art
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",1,68,discoveries concerning liver therapy cases anaemia
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",1,68,discoveries concerning liver therapy cases anaemia
peace,"""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34""",2,122,untiring struggle courageous efforts Chairman League Nations Disarmament Conference 193134
chemistry,"""in recognition of their synthesis of new radioactive elements""",4,63,recognition synthesis new radioactive elements
chemistry,"""in recognition of their synthesis of new radioactive elements""",4,63,recognition synthesis new radioactive elements
physics,"""for the discovery of the neutron""",0,34,discovery neutron
medicine,"""for his discovery of the organizer effect in embryonic development""",1,68,discovery organizer effect embryonic development
peace,"""for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace""",2,112,burning love freedom thought expression valuable contribution cause peace
chemistry,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",4,164,contributions knowledge molecular structure investigations dipole moments diffraction Xrays electrons gases
medicine,"""for their discoveries relating to chemical transmission of nerve impulses""",1,75,discoveries relating chemical transmission nerve impulses
physics,"""for his discovery of cosmic radiation""",0,39,discovery cosmic radiation
medicine,"""for their discoveries relating to chemical transmission of nerve impulses""",1,75,discoveries relating chemical transmission nerve impulses
physics,"""for his discovery of the positron""",0,35,discovery positron
peace,"""for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935""",2,146,role father Argentine Antiwar Pact 1933 also used means mediate peace Paraguay Bolivia 1935
literature,"""for the power honesty and deep-felt emotions of his dramatic works which embody an original concept of tragedy""",3,112,power honesty deepfelt emotions dramatic works embody original concept tragedy
physics,"""for their experimental discovery of the diffraction of electrons by crystals""",0,78,experimental discovery diffraction electrons crystals
medicine,"""for his discoveries in connection with the biological combustion processes with special reference to vitamin C and the catalysis of fumaric acid""",1,146,discoveries connection biological combustion processes special reference vitamin C catalysis fumaric acid
chemistry,"""for his investigations on carbohydrates and vitamin C""",4,55,investigations carbohydrates vitamin C
physics,"""for their experimental discovery of the diffraction of electrons by crystals""",0,78,experimental discovery diffraction electrons crystals
peace,"""for his tireless effort in support of the League of Nations disarmament and peace""",2,83,tireless effort support League Nations disarmament peace
literature,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",3,172,artistic power truth depicted human conflict well fundamental aspects contemporary life novelcycle ILes ThibaultI
chemistry,"""for his investigations on carotenoids flavins and vitamins A and B2""",4,69,investigations carotenoids flavins vitamins B2
physics,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""",0,183,demonstrations existence new radioactive elements produced neutron irradiation related discovery nuclear reactions brought slow neutrons
chemistry,"""for his work on carotenoids and vitamins""",4,42,work carotenoids vitamins
medicine,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",1,106,discovery role played sinus aortic mechanisms regulation respiration
peace,"""for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe""",2,92,carried work Fridtjof Nansen benefit refugees across Europe
literature,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",3,105,rich truly epic descriptions peasant life China biographical masterpieces
medicine,"""for the discovery of the antibacterial effects of prontosil""",1,61,discovery antibacterial effects prontosil
physics,"""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements""",0,143,invention development cyclotron results obtained especially regard artificial radioactive elements
chemistry,"""for his work on polymethylenes and higher terpenes""",4,52,work polymethylenes higher terpenes
chemistry,"""for his work on sex hormones""",4,30,work sex hormones
literature,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",3,158,deep understanding countrys peasantry exquisite art portrayed way life relationship Nature
medicine,"""for his discovery of vitamin K""",1,32,discovery vitamin K
medicine,"""for his discovery of the chemical nature of vitamin K""",1,55,discovery chemical nature vitamin K
chemistry,"""for his work on the use of isotopes as tracers in the study of chemical processes""",4,83,work use isotopes tracers study chemical processes
physics,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",0,124,contribution development molecular ray method discovery magnetic moment proton
medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",1,94,discoveries relating highly differentiated functions single nerve fibres
literature,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold freshly creative style""",3,160,rare strength fertility poetic imagination combined intellectual curiosity wide scope bold freshly creative style
medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",1,94,discoveries relating highly differentiated functions single nerve fibres
chemistry,"""for his discovery of the fission of heavy nuclei""",4,50,discovery fission heavy nuclei
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",2,90,efforts take care wounded soldiers prisoners war families
peace,"""for the great work it has performed during the war on behalf of humanity""",2,74,great work performed war behalf humanity
